月份,發生地點,死亡人數,存活人數,車種,經度,緯度
02月 ,Pingtung,1,0,普通重型-機車;自用-小客車,120.653593,22.257372
02月 ,Yilan,1,2,普通重型-機車;普通重型-機車;大型重型-機車,121.802695,24.832248
02月 ,Taichung,1,0,自用-大貨車;大型重型-機車,120.542428,24.290763
02月 ,Yunlin,1,0,自用-小貨車;普通重型-機車,120.452875,23.65676
02月 ,Taipei,1,0,普通重型-機車,121.452619,25.036297
02月 ,Taipei,1,0,普通重型-機車,121.584104,25.047024
02月 ,Taitung,1,0,普通重型-機車,121.201632,22.861125
02月 ,Kaohsiung,1,1,普通重型-機車;普通重型-機車,120.3114,22.64077
02月 ,Keelung,1,0,行人-人;民營客運-大客車,121.738296,25.131707
02月 ,Taoyuan,1,0,普通重型-機車,121.35652,25.010873
02月 ,Kaohsiung,1,4,自用-小客車;自用-小客車;其他人-人;營業用-大貨車;自用-小客車;乘客-人;乘客-人,120.43732,22.795617
02月 ,Pingtung,1,0,普通重型-機車,120.58615,22.669025
02月 ,Taichung,1,0,自用-小客車;普通重型-機車,120.694425,24.148235
02月 ,Chiayi,1,1,行人-人;普通重型-機車,120.449423,23.470789
02月 ,Taoyuan,1,0,行人-人;營業用-曳引車,121.264745,25.095038
02月 ,Yilan,1,0,自用-小客車;普通重型-機車,121.783614,24.648988
02月 ,Taitung,1,0,普通重型-機車,121.397387,23.129028
02月 ,Taichung,1,0,普通重型-機車,120.598221,24.390936
02月 ,Taipei,1,1,自用-小客車;普通重型-機車;乘客-人,121.563447,25.083408
02月 ,Miaoli,1,0,普通重型-機車,120.945122,24.618257
02月 ,Taipei,1,0,行人-人;自用-小貨車;自用-小客車;自用-小客車,121.68809,25.182107
02月 ,Changhua,1,0,普通重型-機車,120.545957,23.931827
02月 ,Kaohsiung,1,0,普通重型-機車,120.1857,22.91516
02月 ,Chiayi,1,0,普通重型-機車,120.546924,23.382683
02月 ,Pingtung,1,0,普通重型-機車,120.586917,22.635813
02月 ,Miaoli,1,0,拼裝車-其他車,120.905991,24.562938
02月 ,Taichung,1,1,營業用-大貨車;營業用-全聯結車;乘客-人,120.592947,24.115806
02月 ,Taitung,1,0,普通重型-機車;自用-小貨車;自用-小客車,121.134942,22.746403
02月 ,Taichung,1,2,遊覽車-大客車;自用-小客車;營業用-曳引車;乘客-人;乘客-人,120.618293,24.10898
02月 ,Chiayi,1,0,普通重型-機車,120.192548,23.434954
02月 ,Kaohsiung,1,0,行人-人;自用-小貨車,120.288029,22.667934
02月 ,Taoyuan,1,0,自用-小客車;普通重型-機車,121.221038,24.881428
02月 ,Hsinchu,1,0,自用-小客車;普通重型-機車,120.955513,24.804773
02月 ,Taipei,1,2,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車,121.454057,25.180084
02月 ,Taichung,1,0,自用-小客車;普通重型-機車,120.699343,24.077628
02月 ,Kinmen,1,1,普通重型-機車;行人-人,118.381359,24.447018
02月 ,Yilan,1,0,普通重型-機車,121.728101,24.693393
